Date;Last Crawling;SKU Name;Product Name;Url Product;Seller;Merchant;Stock;Item Condition;Filter;Flag;Bottom Price;Original Price;Discount;Selling Price;Discrepancy;Sales Quantity;Sales Revenue
Oct 22, 2022;Oct 22, 2022;TL WR840N;Sintesa# TP-LINK TL-WR840N 300Mbps Wireless N Speed Wi-Fi Router;https://tokopedia.com/jannahstr/sintesa-tp-link-tl-wr840n-300mbps-wireless-n-speed-wi-fi-router;JANNAH STR;tokopedia;In Stock;baru;Above;Please Check;155000;266190;0;266190;0,017173548;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Gt Tp-Link Wireless Router Tl Wr840N 300 Mbps;https://tokopedia.com/madridismoid/gt-tp-link-wireless-router-tl-wr840n-300-mbps;madridismoid;tokopedia;In Stock;baru;Above;Please Check;155000;225000;0;225000;0,014516129;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Wireless Router TP-LINK TL-WR840N 300Mbps;https://tokopedia.com/tambakofficial/wireless-router-tp-link-tl-wr840n-300mbps;Tambak Official;tokopedia;In Stock;baru;Above;Please Check;155000;186000;0;186000;0,012;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N 300Mbps TPLink WiFi Wireless N Router;https://tokopedia.com/garwitastore-i/tp-link-tl-wr840n-300mbps-tplink-wifi-wireless-n-router;Garwitastore-id;tokopedia;In Stock;baru;Above;Please Check;155000;245000;0;245000;0,015806452;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;SALE TERBATAS Tp-Link TL-WR820N TL-WR840N Wireless N Speed 300Mbs Wifi - TL-WR820N;https://tokopedia.com/brantaofficial/sale-terbatas-tp-link-tl-wr820n-tl-wr840n-wireless-n-speed-300mbs-wifi-tl-wr820n;Branta Official;tokopedia;In Stock;baru;Above;Please Check;155000;375000;0;375000;0,024193548;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N WIFI ROUTER 300Mbps Wireless N Speed;https://tokopedia.com/belsa/tp-link-tl-wr840n-wifi-router-300mbps-wireless-n-speed;BELSA_SHOP;tokopedia;In Stock;baru;Above;Please Check;155000;238000;0;238000;0,015354839;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;WIRELESS ROUTER TP-LINK TL-WR840N 300Mbps;https://tokopedia.com/ccwinta/wireless-router-tp-link-tl-wr840n-300mbps;ccwinta shop;tokopedia;In Stock;baru;Above;Please Check;155000;242000;0;242000;0,015612903;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;PROMO TP-LINK TL-WR840N 300Mbps Wireless N Router;https://tokopedia.com/mariasartika/promo-tp-link-tl-wr840n-300mbps-wireless-n-router;Maria Sartika;tokopedia;In Stock;baru;Above;Please Check;155000;209000;0;209000;0,013483871;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;100% Ori Tp-Link Tl-Wr840N (V4.0) : 300Mbps Tplink Wifi Wireless N;https://tokopedia.com/lisa100-1/100-ori-tp-link-tl-wr840n-v4-0-300mbps-tplink-wifi-wireless-n;lisa 100;tokopedia;In Stock;baru;Above;Please Check;155000;245500;0;245500;0,01583871;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-LINK TL-WR840N WIRELESS ROUTER TL WR840N TPLINK WR 840N;https://tokopedia.com/gavinstore-/tp-link-tl-wr840n-wireless-router-tl-wr840n-tplink-wr-840n;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;231000;0;231000;0,014903226;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;KG568 TP-LINK TL-WR840N 300Mbps Wireless N Router 300Mbps Wireless NWR;https://tokopedia.com/devistoreeh/kg568-tp-link-tl-wr840n-300mbps-wireless-n-router-300mbps-wireless-nwr;devistoreeh;tokopedia;In Stock;baru;Above;Please Check;155000;247000;0;247000;0,015935484;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;TP-Link TL-WR840N N300 Wi-Fi Router MIRIP N200RE WR820N WR840N N301;https://tokopedia.com/madilaa/tp-link-tl-wr840n-n300-wi-fi-router-mirip-n200re-wr820n-wr840n-n301;madilaa_shopp;tokopedia;In Stock;baru;Above;Please Check;155000;218800;0;218800;0,014116129;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;ROUTER Wireless TP-LINK TL-WR840N 300 MBPS;https://tokopedia.com/gavinstore-/router-wireless-tp-link-tl-wr840n-300-mbps;Gavinstore-id;tokopedia;In Stock;baru;Above;Please Check;155000;240000;0;240000;0,015483871;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Router Tp-Link Tl-Wr840N 300Mbps;https://tokopedia.com/momamakitchen/router-tp-link-tl-wr840n-300mbps;Momama Kitchen;tokopedia;In Stock;baru;Above;Please Check;155000;211000;0;211000;0,013612903;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Tp-Link TL-WR840N 300Mbps Wireless N Speed Router WiFi 840 840n wr840;https://tokopedia.com/kela-/tp-link-tl-wr840n-300mbps-wireless-n-speed-router-wifi-840-840n-wr840;KELA_STORE;tokopedia;In Stock;baru;Above;Please Check;155000;263000;0;263000;0,016967742;0;0
Oct 22, 2022;Oct 22, 2022;TL WR840N;Wireless Router TP-LINK TL-WR840N | WiFi Router TP-LINK 300Mbps;https://tokopedia.com/balok-s/wireless-router-tp-link-tl-wr840n-wifi-router-tp-link-300mbps;BALOK S;tokopedia;In Stock;baru;Above;Please Check;155000;276000;0;276000;0,017806452;0;0
